Instrument Name,DustTrak DRX
Model Number,8533
Serial Number,8533103404
Firmware Version,3.0
Calibration Date,03/12/2014
Test Name,MANUAL_001
Test Start Time,15:40:11
Test Start Date,05/04/2018
Test Length [D:H:M],0:1:20
Test Interval [M:S],0:1
PM1 Average [mg/m3],0.015
PM1 Minimum [mg/m3],0.008
PM1 Maximum [mg/m3],0.131
PM1 TWA [mg/m3],0.002
PM2.5 Average [mg/m3],0.015
PM2.5 Minimum [mg/m3],0.008
PM2.5 Maximum [mg/m3],0.131
PM2.5 TWA [mg/m3],0.002
PM4 Average [mg/m3],0.015
PM4 Minimum [mg/m3],0.008
PM4 Maximum [mg/m3],0.131
PM4 TWA [mg/m3],0.002
PM10 Average [mg/m3],0.015
PM10 Minimum [mg/m3],0.008
PM10 Maximum [mg/m3],0.131
PM10 TWA [mg/m3],0.002
TOTAL Average [mg/m3],0.015
TOTAL Minimum [mg/m3],0.008
TOTAL Maximum [mg/m3],0.131
TOTAL TWA [mg/m3],0.002
Photometric User Cal,1.00
Size Correction User Cal,1.00
Flow User Cal,0.00
Errors,
Number of Samples,4849

Elapsed Time [s],PM1 [mg/m3],PM2.5 [mg/m3],PM4 [mg/m3],PM10 [mg/m3],TOTAL [mg/m3],Alarms,Errors
1,0.008,0.008,0.008,0.008,0.008,,
2,0.009,0.009,0.009,0.009,0.009,,
3,0.015,0.015,0.015,0.015,0.015,,
4,0.018,0.019,0.019,0.019,0.019,,
5,0.014,0.014,0.014,0.014,0.014,,
6,0.014,0.014,0.014,0.014,0.014,,
7,0.013,0.013,0.013,0.013,0.013,,
8,0.015,0.015,0.015,0.015,0.015,,
9,0.016,0.016,0.016,0.016,0.016,,
10,0.018,0.018,0.018,0.018,0.018,,
11,0.017,0.017,0.017,0.017,0.017,,
12,0.014,0.014,0.014,0.014,0.014,,
13,0.015,0.015,0.015,0.015,0.015,,
14,0.014,0.014,0.014,0.014,0.014,,
15,0.013,0.013,0.013,0.013,0.013,,
16,0.015,0.015,0.015,0.015,0.015,,
17,0.017,0.017,0.017,0.017,0.017,,
18,0.014,0.014,0.014,0.014,0.014,,
19,0.013,0.013,0.013,0.013,0.013,,
20,0.014,0.014,0.014,0.014,0.014,,
21,0.013,0.013,0.013,0.013,0.013,,
22,0.013,0.013,0.013,0.013,0.013,,
23,0.015,0.015,0.015,0.015,0.015,,
24,0.013,0.013,0.013,0.013,0.013,,
25,0.015,0.015,0.015,0.015,0.015,,
26,0.016,0.016,0.016,0.016,0.016,,
27,0.014,0.014,0.014,0.014,0.014,,
28,0.016,0.016,0.016,0.016,0.016,,
29,0.014,0.014,0.014,0.014,0.014,,
30,0.012,0.012,0.012,0.012,0.012,,
31,0.013,0.013,0.013,0.013,0.013,,
32,0.013,0.013,0.013,0.013,0.013,,
33,0.013,0.013,0.013,0.013,0.013,,
34,0.012,0.012,0.012,0.012,0.012,,
35,0.015,0.015,0.015,0.015,0.015,,
36,0.016,0.016,0.016,0.016,0.016,,
37,0.015,0.015,0.015,0.015,0.015,,
38,0.016,0.016,0.016,0.016,0.016,,
39,0.015,0.015,0.015,0.015,0.015,,
40,0.015,0.015,0.015,0.015,0.015,,
41,0.016,0.016,0.016,0.016,0.016,,
42,0.015,0.016,0.016,0.016,0.016,,
43,0.015,0.015,0.015,0.015,0.015,,
44,0.014,0.014,0.014,0.014,0.014,,
45,0.013,0.013,0.013,0.013,0.013,,
46,0.015,0.016,0.016,0.016,0.016,,
47,0.015,0.015,0.015,0.015,0.015,,
48,0.014,0.014,0.014,0.014,0.014,,
49,0.015,0.015,0.015,0.015,0.015,,
50,0.015,0.016,0.016,0.016,0.016,,
51,0.017,0.017,0.017,0.017,0.017,,
52,0.017,0.017,0.017,0.017,0.017,,
53,0.014,0.014,0.014,0.014,0.014,,
54,0.014,0.014,0.014,0.014,0.014,,
55,0.014,0.014,0.014,0.014,0.014,,
56,0.014,0.014,0.014,0.014,0.014,,
57,0.017,0.017,0.017,0.017,0.017,,
58,0.017,0.017,0.017,0.017,0.017,,
59,0.014,0.014,0.014,0.014,0.014,,
60,0.014,0.014,0.014,0.014,0.014,,
61,0.014,0.014,0.014,0.014,0.014,,
62,0.015,0.015,0.015,0.015,0.015,,
63,0.015,0.015,0.015,0.015,0.015,,
64,0.015,0.015,0.015,0.015,0.015,,
65,0.014,0.014,0.014,0.014,0.014,,
66,0.016,0.016,0.016,0.016,0.016,,
67,0.015,0.015,0.015,0.015,0.015,,
68,0.017,0.017,0.017,0.017,0.017,,
69,0.019,0.019,0.019,0.019,0.019,,
70,0.014,0.014,0.014,0.014,0.014,,
71,0.013,0.013,0.013,0.013,0.013,,
72,0.014,0.014,0.014,0.014,0.014,,
73,0.015,0.015,0.015,0.015,0.015,,
74,0.017,0.017,0.017,0.017,0.017,,
75,0.014,0.014,0.014,0.014,0.014,,
76,0.015,0.015,0.015,0.015,0.015,,
77,0.015,0.015,0.015,0.015,0.015,,
