INDEX,RCR,UTC DATE,UTC TIME,LOCAL DATE,LOCAL TIME,MS,VALID,LATITUDE,N/S,LONGITUDE,E/W,HEIGHT,SPEED,
1,T,2018/5/4,22:7:2,2018/5/4,15:7:2,  0,SPS,45.513500,N,-122.686175,W,39,0.373,
2,T,2018/5/4,22:7:3,2018/5/4,15:7:3,  0,SPS,45.513489,N,-122.686162,W,36,0.332,
3,T,2018/5/4,22:7:4,2018/5/4,15:7:4,  0,SPS,45.513489,N,-122.686168,W,36,0.081,
4,T,2018/5/4,22:7:5,2018/5/4,15:7:5,  0,SPS,45.513477,N,-122.686175,W,38,0.085,
5,T,2018/5/4,22:7:6,2018/5/4,15:7:6,  0,SPS,45.513464,N,-122.686183,W,41,0.009,
6,T,2018/5/4,22:7:7,2018/5/4,15:7:7,  0,SPS,45.513457,N,-122.686193,W,44,0.055,
7,T,2018/5/4,22:7:8,2018/5/4,15:7:8,  0,SPS,45.513481,N,-122.686183,W,45,0.091,
8,T,2018/5/4,22:7:9,2018/5/4,15:7:9,  0,SPS,45.513489,N,-122.686169,W,42,0.021,
9,T,2018/5/4,22:7:10,2018/5/4,15:7:10,  0,SPS,45.513500,N,-122.686160,W,41,0.103,
10,T,2018/5/4,22:7:11,2018/5/4,15:7:11,  0,SPS,45.513502,N,-122.686163,W,40,0.058,
11,T,2018/5/4,22:7:12,2018/5/4,15:7:12,  0,SPS,45.513494,N,-122.686168,W,41,0.039,
12,T,2018/5/4,22:7:13,2018/5/4,15:7:13,  0,SPS,45.513486,N,-122.686177,W,43,0.081,
13,T,2018/5/4,22:7:14,2018/5/4,15:7:14,  0,SPS,45.513484,N,-122.686180,W,44,0.015,
14,T,2018/5/4,22:7:15,2018/5/4,15:7:15,  0,SPS,45.513493,N,-122.686174,W,43,0.009,
15,T,2018/5/4,22:7:16,2018/5/4,15:7:16,  0,SPS,45.513500,N,-122.686167,W,42,0.040,
16,T,2018/5/4,22:7:17,2018/5/4,15:7:17,  0,SPS,45.513504,N,-122.686157,W,41,0.019,
17,T,2018/5/4,22:7:18,2018/5/4,15:7:18,  0,SPS,45.513507,N,-122.686157,W,42,0.121,
18,T,2018/5/4,22:7:19,2018/5/4,15:7:19,  0,SPS,45.513502,N,-122.686159,W,42,0.051,
19,T,2018/5/4,22:7:20,2018/5/4,15:7:20,  0,SPS,45.513497,N,-122.686162,W,43,0.024,
20,T,2018/5/4,22:7:21,2018/5/4,15:7:21,  0,SPS,45.513498,N,-122.686164,W,44,0.009,
21,T,2018/5/4,22:7:22,2018/5/4,15:7:22,  0,SPS,45.513495,N,-122.686166,W,44,0.018,
22,T,2018/5/4,22:7:23,2018/5/4,15:7:23,  0,SPS,45.513494,N,-122.686165,W,44,0.027,
23,T,2018/5/4,22:7:24,2018/5/4,15:7:24,  0,SPS,45.513493,N,-122.686165,W,43,0.023,
24,T,2018/5/4,22:7:25,2018/5/4,15:7:25,  0,SPS,45.513489,N,-122.686169,W,44,0.039,
25,T,2018/5/4,22:7:26,2018/5/4,15:7:26,  0,SPS,45.513487,N,-122.686171,W,44,0.011,
26,T,2018/5/4,22:7:27,2018/5/4,15:7:27,  0,SPS,45.513482,N,-122.686175,W,44,0.097,
27,T,2018/5/4,22:7:28,2018/5/4,15:7:28,  0,SPS,45.513481,N,-122.686180,W,45,0.047,
28,T,2018/5/4,22:7:29,2018/5/4,15:7:29,  0,SPS,45.513480,N,-122.686185,W,46,0.034,
29,T,2018/5/4,22:7:30,2018/5/4,15:7:30,  0,SPS,45.513478,N,-122.686189,W,46,0.031,
30,T,2018/5/4,22:7:31,2018/5/4,15:7:31,  0,SPS,45.513476,N,-122.686190,W,45,0.070,
