date,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,p_0_3_um,p_0_5_um,pm_1_0_um,pm_2_5_um,pm_5_0_um,pm_10_0_um
2018-05-04 00:00:00, 4,6,6,4,6,6,834,243,29,0,0,0
2018-05-04 00:00:01, 4,6,6,4,6,6,834,243,29,0,0,0
2018-05-04 00:00:02, 4,6,6,4,6,6,831,243,32,0,0,0
2018-05-04 00:00:03, 4,6,6,4,6,6,831,243,32,0,0,0
2018-05-04 00:00:03, 4,6,6,4,6,6,831,243,32,0,0,0
2018-05-04 00:00:04, 4,5,5,4,5,5,786,223,29,0,0,0
2018-05-04 00:00:05, 4,5,5,4,5,5,786,223,29,0,0,0
2018-05-04 00:00:06, 4,5,5,4,5,5,786,223,29,0,0,0
2018-05-04 00:00:07, 4,5,5,4,5,5,780,223,34,0,0,0
2018-05-04 00:00:08, 4,5,5,4,5,5,780,223,34,0,0,0
2018-05-04 00:00:09, 4,5,5,4,5,5,780,223,34,0,0,0
2018-05-04 00:00:09, 4,5,5,4,5,5,822,228,34,0,0,0
2018-05-04 00:00:10, 4,5,5,4,5,5,822,228,34,0,0,0
2018-05-04 00:00:11, 4,5,5,4,5,5,822,228,34,0,0,0
2018-05-04 00:00:12, 4,5,5,4,5,5,816,223,34,0,0,0
2018-05-04 00:00:13, 4,5,5,4,5,5,816,223,34,0,0,0
2018-05-04 00:00:14, 4,5,5,4,5,5,816,223,34,0,0,0
2018-05-04 00:00:15, 4,5,5,4,5,5,822,225,32,0,0,0
2018-05-04 00:00:15, 4,5,5,4,5,5,822,225,32,0,0,0
2018-05-04 00:00:16, 4,5,5,4,5,5,822,225,32,0,0,0
2018-05-04 00:00:17, 4,5,5,4,5,5,771,210,28,0,0,0
2018-05-04 00:00:18, 4,5,5,4,5,5,771,210,28,0,0,0
2018-05-04 00:00:19, 4,5,5,4,5,5,771,210,28,0,0,0
2018-05-04 00:00:20, 3,5,5,3,5,5,765,209,30,0,0,0
2018-05-04 00:00:21, 3,5,5,3,5,5,765,209,30,0,0,0
2018-05-04 00:00:21, 3,5,5,3,5,5,765,209,30,0,0,0
2018-05-04 00:00:22, 3,5,5,3,5,5,777,211,32,1,1,0
2018-05-04 00:00:23, 3,5,5,3,5,5,777,211,32,1,1,0
2018-05-04 00:00:24, 3,5,5,3,5,5,777,211,32,1,1,0
2018-05-04 00:00:25, 3,5,6,3,5,6,783,209,32,2,2,0
2018-05-04 00:00:26, 3,5,6,3,5,6,783,209,32,2,2,0
2018-05-04 00:00:27, 3,5,6,3,5,6,783,209,32,2,2,0
2018-05-04 00:00:28, 3,5,6,3,5,6,750,199,30,2,2,0
2018-05-04 00:00:28, 3,5,6,3,5,6,750,199,30,2,2,0
2018-05-04 00:00:29, 3,5,6,3,5,6,750,199,30,2,2,0
2018-05-04 00:00:30, 3,5,6,3,5,6,729,199,32,2,2,0
2018-05-04 00:00:31, 3,5,6,3,5,6,729,199,32,2,2,0
2018-05-04 00:00:32, 3,5,6,3,5,6,729,199,32,2,2,0
2018-05-04 00:00:33, 3,5,6,3,5,6,759,203,33,2,2,0
2018-05-04 00:00:34, 3,5,6,3,5,6,759,203,33,2,2,0
2018-05-04 00:00:34, 3,5,6,3,5,6,759,203,33,2,2,0
2018-05-04 00:00:35, 3,5,6,3,5,6,732,202,29,2,2,0
2018-05-04 00:00:36, 3,5,6,3,5,6,732,202,29,2,2,0
2018-05-04 00:00:37, 3,5,6,3,5,6,732,202,29,2,2,0
2018-05-04 00:00:38, 3,4,5,3,4,5,753,214,29,2,2,0
2018-05-04 00:00:39, 3,4,5,3,4,5,753,214,29,2,2,0
2018-05-04 00:00:40, 3,4,5,3,4,5,753,214,29,2,2,0
2018-05-04 00:00:41, 3,4,5,3,4,5,753,221,31,2,2,0
2018-05-04 00:00:41, 4,5,6,4,5,6,753,221,31,2,2,0
2018-05-04 00:00:42, 4,5,6,4,5,6,753,221,31,2,2,0
2018-05-04 00:00:43, 4,5,6,4,5,6,783,224,35,2,2,0
2018-05-04 00:00:44, 4,5,6,4,5,6,783,224,35,2,2,0
2018-05-04 00:00:45, 4,5,6,4,5,6,783,224,35,2,2,0
2018-05-04 00:00:46, 4,5,6,4,5,6,774,220,33,2,2,0
2018-05-04 00:00:47, 4,5,6,4,5,6,774,220,33,2,2,0
2018-05-04 00:00:47, 4,5,6,4,5,6,774,220,33,2,2,0
2018-05-04 00:00:48, 4,5,5,4,5,5,759,218,33,1,1,0
2018-05-04 00:00:49, 4,5,5,4,5,5,759,218,33,1,1,0
2018-05-04 00:00:50, 4,5,5,4,5,5,759,218,33,1,1,0
2018-05-04 00:00:51, 4,5,5,4,5,5,783,225,33,0,0,0
2018-05-04 00:00:52, 4,5,5,4,5,5,783,225,33,0,0,0
2018-05-04 00:00:53, 4,5,5,4,5,5,783,225,33,0,0,0
2018-05-04 00:00:54, 4,5,5,4,5,5,783,226,35,0,0,0
2018-05-04 00:00:54, 4,5,5,4,5,5,783,226,35,0,0,0
2018-05-04 00:00:55, 4,5,5,4,5,5,783,226,35,0,0,0
2018-05-04 00:00:56, 4,5,5,4,5,5,804,231,31,0,0,0
2018-05-04 00:00:57, 4,5,5,4,5,5,804,231,31,0,0,0
2018-05-04 00:00:58, 4,5,5,4,5,5,804,231,31,0,0,0
2018-05-04 00:00:59, 4,5,5,4,5,5,768,222,25,0,0,0
2018-05-04 00:01:00, 4,5,5,4,5,5,768,222,25,0,0,0
2018-05-04 00:01:00, 4,5,5,4,5,5,768,222,25,0,0,0
2018-05-04 00:01:01, 4,4,4,4,4,4,720,204,27,0,0,0
2018-05-04 00:01:02, 4,4,4,4,4,4,720,204,27,0,0,0
2018-05-04 00:01:03, 4,4,4,4,4,4,720,204,27,0,0,0
2018-05-04 00:01:04, 4,5,5,4,5,5,741,206,27,0,0,0
2018-05-04 00:01:05, 4,5,5,4,5,5,741,206,27,0,0,0
2018-05-04 00:01:06, 4,5,5,4,5,5,741,206,27,0,0,0
2018-05-04 00:01:06, 4,4,4,4,4,4,726,195,25,0,0,0
2018-05-04 00:01:07, 4,4,4,4,4,4,726,195,25,0,0,0
2018-05-04 00:01:08, 4,4,4,4,4,4,726,195,25,0,0,0
2018-05-04 00:01:09, 3,4,4,3,4,4,726,195,25,0,0,0
